item_id,carat,cut,color,clarity,depth,table,x,y,z
15046,0.3,Ideal,F,VS2,62.0,55.0,4.31,4.33,2.68
26577,2.01,Ideal,I,SI1,64.8,62.0,7.92,7.82,5.1
35045,0.42,Ideal,I,VVS1,60.2,57.0,4.85,4.88,2.93
36749,0.33,Ideal,F,VVS1,61.9,55.0,4.42,4.44,2.74
25401,2.29,Premium,G,SI2,62.5,59.0,8.38,8.33,5.22
14789,1.3,Premium,J,VS2,61.5,58.0,7.05,7.0,4.32
15865,2.02,Fair,G,I1,68.0,55.0,7.77,7.72,5.27
412,0.3,Ideal,G,VS1,62.3,56.0,4.29,4.31,2.68
12142,1.01,Very Good,F,SI1,62.7,57.0,6.32,6.38,3.98
41888,0.41,Ideal,G,IF,61.6,55.0,4.78,4.83,2.96
5659,1.05,Good,J,VS1,57.8,64.0,6.74,6.67,3.88
20716,0.31,Ideal,H,VVS2,62.4,56.0,4.34,4.38,2.72
11308,1.06,Premium,H,SI1,61.0,58.0,6.57,6.61,4.02
19998,1.57,Very Good,J,VS2,62.0,58.0,7.45,7.48,4.63
44966,0.7,Premium,G,SI2,58.9,59.0,5.73,5.7,3.37
23665,1.65,Premium,D,SI2,61.6,58.0,7.59,7.55,4.66
8257,1.01,Ideal,I,VS2,64.1,58.0,6.27,6.21,4.0
38226,0.4,Ideal,H,VVS1,61.4,57.0,4.74,4.81,2.93
40130,0.41,Premium,F,VVS2,62.4,58.0,4.7,4.76,2.95
31505,0.34,Ideal,G,VS2,62.0,55.0,4.48,4.46,2.77
47611,0.53,Ideal,G,VVS2,61.5,56.0,5.18,5.22,3.2
44535,0.5,Ideal,E,VS1,62.2,57.0,5.1,5.13,3.18
5771,0.91,Ideal,E,SI2,60.8,56.0,6.29,6.25,3.81
43539,0.41,Ideal,D,VS1,61.1,56.0,4.8,4.83,2.94
36454,0.31,Ideal,D,VS2,62.5,57.0,4.36,4.31,2.71
22117,1.53,Ideal,H,SI1,62.9,60.0,7.36,7.28,4.61
48485,0.55,Ideal,F,VS1,61.6,57.0,5.29,5.23,3.24
50180,0.74,Very Good,H,SI2,62.1,58.0,5.82,5.78,3.6
1506,1.01,Fair,G,SI1,65.1,57.0,6.27,6.22,4.07
22921,1.25,Very Good,G,VVS1,60.6,60.0,6.92,6.95,4.2
17589,1.2,Very Good,I,VVS1,62.6,56.0,6.7,6.74,4.21
21137,1.52,Good,I,SI1,64.0,58.0,7.27,7.2,4.63
7395,0.33,Premium,E,SI1,60.9,58.0,4.46,4.5,2.73
19041,0.3,Ideal,F,VS1,62.2,56.0,4.31,4.34,2.69
22,0.23,Very Good,H,VS1,61.0,57.0,3.94,3.96,2.41
38301,0.35,Very Good,D,SI2,62.4,57.0,4.47,4.5,2.8
8683,1.11,Ideal,I,SI2,61.9,57.0,6.66,6.62,4.11
34821,0.3,Very Good,H,VVS1,63.3,55.0,4.34,4.29,2.73
14953,1.21,Very Good,H,SI1,62.8,56.0,6.8,6.83,4.28
3354,0.71,Premium,E,VVS2,59.0,59.0,5.88,5.82,3.45
40211,0.5,Fair,H,VS2,62.4,69.0,5.07,4.99,3.14
3316,0.86,Premium,F,SI1,62.6,58.0,6.01,6.06,3.78
18773,1.03,Premium,E,VS1,59.6,59.0,6.57,6.59,3.92
30016,0.42,Premium,G,SI1,62.7,59.0,4.72,4.75,2.97
30614,0.34,Very Good,F,SI2,61.7,61.0,4.44,4.48,2.75
14447,1.01,Very Good,D,SI1,62.5,61.0,6.34,6.4,3.98
32186,0.39,Ideal,H,VS2,61.6,56.0,4.68,4.71,2.89
47648,0.23,Ideal,F,VVS2,60.3,57.0,3.99,4.03,2.42
11099,1.27,Ideal,J,SI2,61.2,55.7,6.95,6.99,4.27
26908,2.63,Ideal,J,SI2,62.1,57.0,8.83,8.88,5.5
52868,0.73,Ideal,E,SI1,61.9,57.0,5.74,5.79,3.57
283,0.72,Premium,G,VS2,62.9,57.0,5.73,5.65,3.58
50330,0.83,Ideal,J,VS2,61.5,57.0,6.08,6.03,3.72
27808,0.3,Ideal,H,VVS1,61.5,55.0,4.31,4.35,2.66
42947,0.3,Premium,F,SI2,62.3,58.0,4.32,4.28,2.68
39178,0.35,Premium,D,VS2,61.9,58.0,4.6,4.51,2.82
16097,1.14,Very Good,G,VS2,63.2,56.0,6.67,6.63,4.2
27194,1.31,Premium,D,VVS1,62.8,55.0,7.01,6.95,4.38
23474,2.16,Premium,H,SI2,62.3,57.0,8.29,8.22,5.14
19130,1.52,Premium,J,VS2,62.0,59.0,7.31,7.28,4.52
9851,1.74,Very Good,H,I1,63.2,55.0,7.62,7.59,4.8
9764,0.9,Very Good,H,VS2,62.6,57.0,6.11,6.09,3.82
46210,0.54,Very Good,G,VVS2,61.8,57.0,5.22,5.26,3.24
39002,0.45,Ideal,G,VS1,62.8,58.0,4.83,4.88,3.05
27971,0.3,Ideal,E,VS2,62.0,56.0,4.31,4.34,2.68
11541,1.21,Good,I,VS2,64.1,61.0,6.7,6.66,4.28
46922,0.52,Ideal,G,VS1,61.8,55.0,5.21,5.17,3.21
4491,0.79,Premium,E,VS2,62.1,59.0,5.9,5.86,3.65
49655,0.7,Very Good,G,SI2,60.7,58.0,5.74,5.76,3.49
28731,0.31,Premium,E,VS2,61.0,58.0,4.37,4.39,2.67
18440,1.55,Premium,J,SI1,62.5,58.0,7.36,7.4,4.61
33354,0.41,Very Good,G,VS2,61.0,56.0,4.81,4.83,2.94
18803,1.51,Ideal,H,SI1,61.3,57.0,7.41,7.34,4.52
31260,0.32,Good,H,SI1,63.1,54.0,4.36,4.42,2.77
4849,0.71,Ideal,F,VS1,61.9,56.0,5.7,5.74,3.54
135,0.63,Premium,E,VVS1,60.9,60.0,5.52,5.55,3.37
39886,0.42,Premium,F,VS1,59.9,61.0,4.88,4.84,2.91
23680,1.62,Premium,F,SI1,60.1,58.0,7.63,7.59,4.57
732,0.31,Ideal,I,VVS1,62.3,54.0,4.37,4.4,2.73
11352,1.21,Very Good,H,SI2,61.1,60.0,6.86,6.91,4.21
43211,0.51,Very Good,G,VS2,61.2,55.0,5.13,5.16,3.15
41314,0.45,Ideal,G,VVS2,61.2,56.0,4.96,4.91,3.02
19091,1.8,Ideal,D,SI2,62.9,54.0,7.77,7.74,4.88
28477,0.32,Premium,E,SI1,60.4,61.0,4.42,4.39,2.66
42460,0.5,Very Good,E,SI1,63.0,58.0,5.04,5.08,3.19
37183,0.46,Fair,I,VS1,65.6,57.0,4.85,4.82,3.17
14150,1.25,Premium,H,SI2,61.6,54.0,6.95,6.85,4.25
8416,0.97,Very Good,H,SI1,62.8,55.0,6.25,6.3,3.94
45774,0.54,Very Good,I,IF,58.8,61.0,5.29,5.35,3.13
28332,0.33,Premium,G,VS1,62.4,59.0,4.41,4.47,2.77
3348,0.91,Very Good,E,SI2,63.4,58.0,6.15,6.09,3.88
49631,0.32,Premium,J,VS1,61.7,58.0,4.4,4.38,2.71
31162,0.41,Very Good,F,SI1,62.8,57.0,4.69,4.73,2.96
34877,0.3,Ideal,G,VVS1,61.7,57.0,4.34,4.31,2.67
23550,1.51,Very Good,F,SI1,63.0,61.0,7.27,7.3,4.59
44595,0.53,Very Good,H,VS1,63.4,56.0,5.16,5.13,3.26
45517,0.43,Ideal,G,IF,61.3,55.0,4.86,4.89,2.99
36466,0.31,Ideal,D,VS2,62.1,55.0,4.32,4.31,2.68
47757,0.73,Fair,I,SI2,61.3,67.0,5.77,5.64,3.51
2011,0.71,Ideal,E,VS2,62.2,56.0,5.7,5.75,3.56
1877,0.71,Ideal,E,VS2,62.2,57.0,5.69,5.73,3.55
12702,0.26,Very Good,E,VVS1,62.9,58.0,4.06,4.08,2.56
7635,0.93,Ideal,H,VS1,62.7,54.0,6.25,6.2,3.9
22766,1.26,Ideal,G,VVS1,61.1,57.0,7.02,6.98,4.28
25153,1.3,Very Good,E,VVS2,60.5,58.0,7.05,7.11,4.28
43619,0.26,Ideal,G,VS1,62.5,53.0,4.1,4.13,2.57
11289,1.01,Good,D,SI1,62.9,57.0,6.34,6.37,4.0
2657,0.77,Premium,E,VS2,60.5,59.0,5.98,5.92,3.6
23129,1.5,Fair,F,SI1,64.6,60.0,7.18,7.1,4.61
6683,0.9,Ideal,H,SI2,61.9,55.0,6.21,6.19,3.84
53060,0.72,Very Good,E,SI1,63.1,60.0,5.65,5.7,3.58
16631,1.01,Fair,F,VS1,61.7,61.0,6.6,6.49,4.04
26704,0.32,Ideal,F,VS2,62.5,56.0,4.36,4.38,2.73
32461,0.36,Ideal,G,VVS2,61.7,54.0,4.59,4.62,2.84
13040,0.36,Ideal,F,SI1,62.0,56.0,4.54,4.59,2.83
27644,1.6,Ideal,F,VS1,60.5,57.0,7.6,7.63,4.61
646,0.73,Ideal,G,VVS2,61.3,57.0,5.81,5.84,3.57
35340,0.42,Premium,H,SI1,62.1,59.0,4.81,4.78,2.98
47517,0.7,Very Good,I,VS2,62.8,55.0,5.63,5.67,3.55
26582,2.05,Good,G,SI2,63.7,61.0,8.03,7.99,5.1
21101,1.6,Ideal,H,SI2,62.1,56.0,7.43,7.51,4.64
53910,0.7,Premium,E,SI1,60.5,58.0,5.74,5.77,3.48
10913,1.01,Very Good,F,SI1,59.8,59.0,6.39,6.43,3.83
15717,0.36,Premium,G,SI2,61.9,56.0,4.59,4.55,2.83
40019,0.59,Very Good,I,SI1,62.8,59.0,5.34,5.36,3.36
29925,0.31,Ideal,D,VS1,60.6,57.0,4.36,4.39,2.65
30375,0.43,Very Good,G,SI2,61.3,56.2,4.87,4.89,2.99
27814,0.28,Ideal,G,IF,62.4,55.0,4.17,4.2,2.61
43249,0.38,Ideal,D,VVS1,61.3,56.0,4.65,4.71,2.87
33223,0.39,Very Good,F,VS2,62.4,58.0,4.61,4.65,2.89
43841,0.52,Ideal,F,VS2,61.6,56.0,5.14,5.18,3.18
21850,1.3,Premium,F,VS2,60.4,59.0,7.06,7.12,4.28
43092,0.52,Very Good,E,SI1,58.4,58.0,5.29,5.33,3.1
17429,1.5,Very Good,J,SI1,62.5,58.0,7.24,7.29,4.54
50521,0.7,Fair,G,VS2,57.3,63.0,5.78,5.84,3.33
12353,1.01,Good,H,VS2,60.8,61.0,6.43,6.5,3.93
15843,1.31,Ideal,I,VS2,62.4,57.0,6.93,6.97,4.34
31750,0.44,Premium,G,SI1,61.9,59.0,4.82,4.87,3.0
11393,0.34,Premium,G,VS2,61.2,59.0,4.43,4.49,2.73
25932,2.0,Ideal,I,SI2,61.7,56.0,8.0,8.13,4.98
25311,2.02,Premium,I,SI2,62.9,60.0,8.05,8.01,5.05
19689,0.3,Ideal,G,VS1,62.0,56.0,4.29,4.32,2.67
33164,0.39,Very Good,I,VVS2,62.7,58.0,4.65,4.67,2.92
17387,0.32,Premium,G,SI1,60.9,58.0,4.44,4.39,2.69
3677,0.7,Good,F,VVS2,62.5,58.0,5.68,5.75,3.57
45777,0.52,Ideal,E,VS2,61.7,56.0,5.13,5.18,3.18
28131,0.29,Very Good,D,VVS2,62.9,58.0,4.2,4.29,2.67
22021,0.35,Ideal,I,VVS1,61.6,55.0,4.55,4.58,2.81
46478,0.6,Very Good,D,SI1,60.3,58.0,5.44,5.51,3.3
21130,1.73,Very Good,I,SI2,62.0,58.0,7.6,7.69,4.74
38228,0.4,Ideal,H,VVS1,62.3,54.0,4.74,4.77,2.96
16130,1.14,Premium,F,SI1,61.1,58.0,6.77,6.72,4.12
29627,0.32,Good,D,SI2,64.1,54.0,4.34,4.37,2.79
40018,0.46,Good,F,VS1,56.5,61.0,5.11,5.05,2.87
41601,0.24,Very Good,F,VS1,59.3,57.0,4.07,4.12,2.43
20622,1.5,Good,I,VS2,61.3,61.0,7.31,7.38,4.5
33840,0.38,Ideal,E,SI1,61.1,55.0,4.69,4.73,2.88
12541,1.5,Premium,J,SI2,62.6,56.0,7.24,7.11,4.51
13138,1.05,Ideal,E,SI1,62.1,57.0,6.48,6.5,4.03
21559,1.23,Ideal,F,VS1,62.5,54.0,6.82,6.85,4.27
28216,0.4,Very Good,H,SI1,62.9,56.0,4.65,4.7,2.94
11936,1.24,Premium,J,VS2,62.0,58.0,6.87,6.91,4.27
37268,0.32,Very Good,H,SI1,61.8,56.0,4.38,4.41,2.71
52433,0.7,Very Good,E,VS2,62.6,56.0,5.65,5.69,3.55
25046,0.3,Ideal,F,SI1,62.9,57.0,4.27,4.25,2.68
47452,0.53,Ideal,D,VS2,61.2,57.0,5.2,5.26,3.2
9061,1.0,Fair,E,SI2,65.2,59.0,6.28,6.27,4.09
45082,0.5,Good,G,VS1,59.8,63.0,5.12,5.15,3.07
46168,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12
38809,0.31,Very Good,G,VVS1,63.5,57.0,4.33,4.3,2.74
42764,0.57,Very Good,F,SI1,62.0,55.0,5.32,5.37,3.32
2578,0.81,Premium,E,SI1,60.8,59.0,5.99,5.95,3.63
43554,0.52,Ideal,D,SI1,61.2,57.0,5.18,5.22,3.18
19905,1.03,Ideal,G,VVS1,62.4,57.0,6.39,6.47,4.01
20668,1.14,Ideal,F,VS1,61.1,55.0,6.74,6.78,4.13
34405,0.3,Ideal,G,IF,61.5,55.0,4.33,4.35,2.67
12205,1.11,Very Good,H,SI1,60.8,60.0,6.62,6.77,4.07
16993,1.01,Premium,E,VS2,60.4,58.0,6.51,6.47,3.92
3851,0.91,Very Good,J,VS2,61.9,59.0,6.11,6.16,3.8
14205,1.01,Very Good,E,SI1,61.9,56.0,6.33,6.41,3.94
42986,0.5,Fair,G,VS1,66.8,56.0,4.85,4.91,3.26
4958,0.9,Good,G,SI1,63.2,59.0,6.05,6.1,3.84
11359,1.06,Very Good,F,SI1,62.3,56.0,6.5,6.57,4.07
11725,0.34,Good,G,VS2,63.1,57.0,4.43,4.47,2.81
48897,0.71,Premium,F,SI2,62.2,57.0,5.66,5.6,3.5
31867,0.3,Premium,H,VVS2,62.0,58.0,4.35,4.3,2.68
7852,0.9,Premium,D,SI1,61.5,58.0,6.21,6.15,3.8
53613,0.3,Very Good,D,SI1,62.2,61.0,4.24,4.28,2.65
9671,1.0,Good,E,SI1,63.9,55.0,6.28,6.34,4.03
49022,0.57,Ideal,H,VVS1,60.9,56.0,5.38,5.36,3.27
21456,1.57,Ideal,I,SI1,61.7,56.0,7.45,7.48,4.61
41219,0.43,Ideal,G,VVS1,61.5,56.0,4.85,4.87,2.99
28607,0.3,Ideal,E,SI1,62.9,57.0,4.32,4.27,2.7
5795,1.0,Very Good,F,SI2,61.9,59.0,6.39,6.44,3.97
20224,1.04,Very Good,G,IF,60.7,58.0,6.52,6.65,4.0
51935,0.72,Ideal,F,SI1,61.8,57.0,5.68,5.74,3.53
38146,0.3,Very Good,G,VVS1,63.5,57.0,4.27,4.23,2.7
39470,0.41,Premium,E,VS1,60.0,58.0,4.8,4.83,2.89
48964,0.36,Very Good,G,SI1,61.8,60.0,4.53,4.57,2.81
29762,0.35,Premium,I,VS1,60.7,62.0,4.59,4.53,2.77
43705,0.67,Fair,I,VS2,57.2,70.0,5.82,5.75,3.31
43352,0.5,Good,E,VS2,63.4,59.0,5.03,5.06,3.2
24143,1.7,Very Good,I,VS1,62.3,58.1,7.57,7.66,4.74
26444,4.0,Very Good,I,I1,63.3,58.0,10.01,9.94,6.31
4244,0.84,Good,E,SI1,61.9,61.0,6.03,6.05,3.74
46063,0.7,Premium,J,SI1,61.3,59.0,5.73,5.75,3.52
51001,0.73,Very Good,F,SI1,59.3,61.0,5.82,5.85,3.46
36997,0.35,Ideal,D,VS2,60.6,57.0,4.63,4.58,2.79
532,0.7,Premium,E,VS1,59.4,61.0,5.78,5.74,3.42
25634,1.51,Ideal,G,VS1,60.6,57.0,7.48,7.38,4.5
53788,0.77,Ideal,F,SI2,61.3,56.0,5.89,5.92,3.62
36786,0.34,Premium,E,VS2,58.8,59.0,4.59,4.56,2.69
6994,1.06,Premium,F,SI1,61.9,59.0,6.57,6.52,4.05
41596,0.32,Ideal,I,SI2,61.9,56.0,4.38,4.41,2.72
19428,1.34,Ideal,I,VVS2,61.4,56.0,7.07,7.09,4.35
6722,0.31,Ideal,G,VS2,62.1,55.0,4.35,4.38,2.71
32320,0.3,Premium,H,IF,60.4,60.0,4.3,4.34,2.61
46955,0.3,Very Good,H,VS1,60.4,61.0,4.27,4.31,2.59
3511,0.7,Premium,E,IF,62.9,59.0,5.66,5.59,3.4
25721,2.03,Ideal,G,SI1,62.0,57.0,8.1,8.05,5.01
29390,0.31,Very Good,E,SI1,63.5,57.0,4.32,4.28,2.73
23586,1.55,Very Good,H,VS2,61.3,61.0,7.39,7.46,4.55
4517,1.0,Good,D,SI2,64.0,59.0,6.29,6.24,4.01
10404,0.31,Good,D,SI2,63.7,58.0,4.3,4.27,2.73
25044,0.3,Ideal,F,SI1,62.8,56.0,4.26,4.24,2.67
16891,1.2,Premium,E,SI1,62.5,56.0,6.75,6.71,4.21
17652,1.1,Ideal,G,VS1,61.5,57.0,6.65,6.62,4.08
39777,0.36,Ideal,D,VS2,61.5,57.0,4.58,4.56,2.81
48064,0.51,Premium,E,VS1,61.3,58.0,5.17,5.14,3.16
53092,0.7,Very Good,G,VS1,62.8,58.0,5.62,5.68,3.55
36316,0.32,Premium,G,VVS2,60.2,60.0,4.45,4.42,2.67
20236,1.01,Very Good,E,VS1,57.7,62.0,6.57,6.63,3.81
17169,1.08,Ideal,H,VVS2,62.4,55.0,6.53,6.57,4.09
24470,1.51,Premium,E,SI1,60.6,59.0,7.45,7.41,4.5
18591,1.51,Very Good,G,SI1,63.1,56.0,7.27,7.22,4.57
53431,0.72,Good,F,VS2,58.0,57.0,5.93,6.01,3.46
3300,0.9,Very Good,F,SI2,63.0,56.0,6.09,6.16,3.86
8159,1.1,Good,D,SI2,57.0,62.0,6.91,6.84,3.92
7345,1.14,Ideal,J,SI2,61.5,57.0,6.73,6.77,4.15
29379,0.31,Very Good,E,SI1,63.3,55.0,4.35,4.31,2.74
27707,0.36,Good,E,SI2,63.7,54.0,4.55,4.52,2.89
19579,1.51,Good,I,VS1,65.8,57.0,7.09,7.17,4.69
46884,0.7,Ideal,G,SI2,61.6,57.0,5.68,5.65,3.49
36648,0.43,Very Good,E,SI1,63.4,57.0,4.84,4.81,3.06
37366,0.4,Premium,G,VVS2,62.7,59.0,4.69,4.72,2.95
46439,0.54,Ideal,F,VS1,60.9,57.0,5.21,5.26,3.19
37674,0.42,Ideal,E,SI1,62.3,57.0,4.8,4.76,2.98
37967,0.41,Ideal,G,VVS2,60.4,56.0,4.8,4.83,2.91
49784,0.71,Ideal,F,SI2,59.9,59.0,5.79,5.83,3.48
41785,0.59,Ideal,E,SI2,61.6,54.0,5.42,5.45,3.35
16352,0.3,Premium,H,VS2,63.0,59.0,4.29,4.25,2.69
47991,0.32,Premium,J,IF,61.2,59.0,4.41,4.44,2.71
10431,1.06,Very Good,H,SI1,62.8,58.0,6.47,6.49,4.07
19183,2.2,Fair,I,I1,66.3,56.0,8.05,8.0,5.32
21381,0.34,Ideal,D,SI1,60.1,57.0,4.52,4.56,2.73
27863,0.31,Good,D,VS1,61.7,61.0,4.32,4.34,2.67
23534,1.51,Ideal,H,VS2,62.2,57.0,7.33,7.29,4.55
10092,0.9,Good,F,SI1,63.6,55.0,6.15,6.12,3.9
38006,0.32,Ideal,G,VVS1,61.8,56.0,4.41,4.39,2.72
13039,0.36,Ideal,F,SI1,61.5,56.0,4.59,4.62,2.83
32424,0.32,Very Good,E,VS1,61.1,59.8,4.43,4.45,2.71
37000,0.5,Good,J,VS2,63.2,60.0,5.01,5.06,3.18
8063,0.37,Ideal,F,SI1,61.3,55.0,4.61,4.65,2.84
2270,0.7,Ideal,F,VS1,61.2,58.0,5.7,5.73,3.5
53365,0.7,Very Good,G,VS2,63.1,55.0,5.64,5.61,3.55
12175,0.92,Very Good,G,VVS2,62.3,57.0,6.19,6.27,3.88
20100,1.22,Very Good,F,VS2,62.3,57.0,6.8,6.84,4.25
7215,1.01,Ideal,H,SI1,60.2,56.0,6.47,6.42,3.88
28161,0.3,Ideal,H,VVS1,61.9,58.0,4.27,4.29,2.65
10079,0.33,Ideal,H,VS1,62.2,53.3,4.45,4.48,2.77
33875,0.3,Ideal,E,VS2,61.7,55.0,4.32,4.3,2.66
39834,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17
15728,1.23,Premium,H,VS2,61.4,59.0,6.85,6.87,4.21
38830,0.43,Ideal,E,VS2,62.0,57.0,4.85,4.82,3.0
1617,0.71,Ideal,F,VS1,61.1,57.0,5.76,5.82,3.54
16825,1.21,Premium,H,VS2,61.5,58.0,6.82,6.78,4.18
13491,1.01,Good,G,VS2,63.2,64.0,6.34,6.28,3.99
1649,1.02,Very Good,F,SI2,63.3,56.0,6.38,6.31,4.02
10465,0.94,Good,D,SI1,63.6,56.0,6.25,6.2,3.96
40597,0.34,Fair,J,SI1,64.5,57.0,4.38,4.36,2.82
37521,0.47,Premium,D,SI1,60.6,61.0,5.04,5.0,3.04
47010,0.56,Ideal,E,VS2,61.5,57.0,5.27,5.3,3.25
50329,0.65,Good,G,VS1,60.0,60.4,5.6,5.7,3.39
308,0.83,Ideal,G,SI1,62.3,57.0,5.99,6.08,3.76
1833,0.71,Very Good,E,VS1,63.3,56.0,5.64,5.68,3.58
34338,0.3,Ideal,E,VVS1,62.5,57.0,4.27,4.3,2.68
51482,0.74,Ideal,F,SI1,60.4,56.0,5.86,5.83,3.53
17133,1.1,Ideal,G,SI1,61.6,56.0,6.62,6.65,4.08
35890,0.32,Ideal,G,IF,61.7,54.0,4.39,4.42,2.72
18557,1.01,Very Good,G,VVS2,63.1,56.0,6.4,6.34,4.02
48641,0.31,Premium,I,SI1,62.8,60.0,4.31,4.29,2.7
4200,1.01,Premium,J,SI2,61.7,58.0,6.44,6.4,3.96
5859,0.91,Good,H,VS2,63.1,59.0,6.13,6.16,3.88
26419,2.02,Ideal,I,SI1,61.9,58.0,8.07,8.18,5.03
22040,0.31,Premium,I,VS1,59.2,60.0,4.45,4.4,2.62
28440,0.39,Very Good,E,SI1,59.1,59.0,4.76,4.81,2.83
24944,2.01,Premium,I,SI2,60.0,61.0,8.13,8.08,4.86
41200,0.32,Ideal,F,IF,61.2,56.0,4.41,4.45,2.71
15851,1.04,Ideal,G,VS2,62.0,57.0,6.49,6.5,4.03
32216,0.31,Ideal,G,VVS1,61.3,56.0,4.37,4.41,2.69
23425,1.05,Very Good,F,IF,59.7,55.0,6.66,6.73,4.0
2091,0.71,Very Good,G,VVS2,61.2,58.0,5.68,5.72,3.49
21375,0.34,Very Good,D,SI1,60.2,60.0,4.5,4.54,2.72
766,0.76,Ideal,E,SI1,62.7,54.0,5.88,5.83,3.67
39561,0.36,Ideal,E,VS2,60.2,56.0,4.65,4.62,2.79
52325,0.7,Good,E,SI1,63.2,57.0,5.61,5.63,3.55
44857,0.51,Very Good,F,VS1,63.3,57.0,5.06,5.09,3.21
14679,1.09,Ideal,F,SI1,62.0,56.0,6.61,6.56,4.08
31010,0.35,Premium,F,SI1,61.7,58.0,4.54,4.51,2.79
18141,1.21,Ideal,F,SI1,61.2,59.0,6.8,6.85,4.18
35095,0.3,Ideal,F,IF,61.7,58.0,4.3,4.32,2.66
1758,0.71,Very Good,F,VS1,62.2,55.0,5.68,5.74,3.56
34017,0.41,Ideal,E,VS2,62.2,56.0,4.75,4.8,2.97
23106,1.24,Very Good,F,VVS2,62.0,55.0,6.88,6.95,4.29
1607,0.75,Ideal,H,SI1,61.9,56.0,5.81,5.85,3.61
37705,0.37,Very Good,F,IF,60.4,57.0,4.65,4.68,2.81
25860,1.51,Very Good,G,VVS2,62.7,57.0,7.33,7.38,4.61
31621,0.32,Ideal,I,SI1,60.5,58.0,4.43,4.49,2.7
3541,1.01,Premium,I,SI2,61.6,59.0,6.4,6.35,3.93
15401,1.02,Very Good,G,VS2,63.2,57.0,6.41,6.38,4.04
50218,0.7,Premium,F,SI1,61.9,58.0,5.69,5.74,3.54
28158,0.3,Ideal,H,VVS1,61.8,55.0,4.34,4.37,2.69
27569,1.73,Premium,G,VVS2,62.6,55.0,7.76,7.66,4.83
13081,1.01,Ideal,F,SI1,62.7,55.0,6.45,6.4,4.03
8064,0.37,Premium,J,VS2,61.1,60.0,4.63,4.6,2.82
23999,1.52,Ideal,G,VS2,61.3,59.0,7.35,7.4,4.52
4514,0.94,Very Good,D,SI2,62.0,57.0,6.28,6.34,3.91
50175,0.52,Ideal,E,VVS2,60.9,56.0,5.21,5.24,3.18
35369,0.41,Premium,G,VS1,62.5,59.0,4.73,4.77,2.97
14477,1.12,Premium,H,VS1,62.1,58.0,6.6,6.64,4.11
31573,0.31,Ideal,E,VVS2,60.8,56.0,4.39,4.42,2.68
18290,1.23,Premium,H,VS2,59.5,59.0,7.08,7.01,4.19
1438,1.0,Fair,D,SI2,69.3,58.0,5.96,5.87,4.1
10242,1.11,Premium,H,SI1,58.9,59.0,6.82,6.76,4.0
30916,0.34,Premium,E,VS2,61.1,60.0,4.45,4.48,2.73
16840,1.01,Very Good,F,VS1,61.0,58.0,6.47,6.54,3.97
52041,0.71,Premium,E,SI2,62.6,58.0,5.7,5.67,3.56
19871,1.44,Premium,I,VS1,62.6,59.0,7.08,7.14,4.45
23464,1.81,Premium,H,SI2,62.0,60.0,7.79,7.75,4.82
22309,1.4,Very Good,G,VS2,60.1,62.0,7.16,7.25,4.33
20260,1.01,Ideal,F,VVS2,61.0,57.0,6.52,6.46,3.96
5328,0.9,Ideal,E,SI2,62.6,57.0,6.13,6.2,3.86
31415,0.3,Ideal,G,VVS1,62.2,57.0,4.28,4.3,2.67
