wal_id,Unemployment
1293,9.765
5945,8.257
3118,7.671
3631,7.907
4150,8.324
3658,7.767
451,7.372
365,7.567
1592,14.099
4652,8.442
5807,6.759
585,6.465
5408,11.627
6295,8.992
453,7.372
4213,7.931
3298,8.211
5923,8.494
2284,5.847
1993,8.684
1673,12.187
2928,7.931
4466,9.017
62,7.682
4868,9.262
110,7.348
4483,8.818
1343,8.744
2682,7.943
4399,7.057
2165,6.842
2681,7.943
3114,7.503
1658,13.503
382,7.197
3906,14.313
1322,9.003
2844,7.28
5982,7.382
5648,4.781
1421,7.17
460,7.372
4684,7.603
4633,8.951
2998,6.565
2862,8.324
1428,6.943
3279,4.156
4416,6.565
6030,9.816
5847,6.432
3112,7.503
1869,8.899
5802,6.901
2319,6.697
4219,7.931
5566,6.623
994,7.872
459,7.372
5312,14.18
6325,8.743
3926,13.736
495,5.946
3027,8.433
2768,7.343
2287,5.847
3709,7.405
4599,9.495
351,7.574
1794,6.877
2438,9.202
1371,8.257
5772,7.241
2043,8.067
5018,8.464
6289,5.217
5711,4.156
5327,14.313
6426,8.684
2058,7.771
5183,8.476
2259,6.169
4642,8.687
4943,8.684
1727,8.107
455,7.372
3887,14.18
3907,14.313
2996,6.565
1710,10.926
5029,8.36
6428,8.684
2587,8.185
398,6.833
5395,12.187
3043,8.572
5374,13.503
3259,4.125
3030,8.433
4435,9.014
1908,8.549
4667,8.01
6368,8.625
1064,6.297
3857,8
5986,7.382
4263,6.891
807,6.551
2704,8.193
750,7.007
527,5.143
1897,8.724
2930,7.931
251,7.057
1235,6.054
2536,8.075
2827,6.961
1621,14.021
3737,8.058
688,5.801
1254,5.667
2689,8.15
3005,8.283
4349,8.028
2383,6.617
396,6.833
5931,8.494
6279,5.407
3895,14.313
4010,10.064
999,7.557
1990,8.684
3873,14.099
5856,6.432
1417,7.17
5841,6.547
577,6.566
4264,6.891
4164,8.2
4023,10.16
797,6.925
3796,7.85
2482,9.131
4289,6.17
6357,8.521
1934,8.625
4593,9.849
539,4.607
4805,10.641
5144,6.228
2717,8.187
641,6.489
2645,7.658
2355,6.774
3215,4.781
2113,7.943
3874,14.099
4894,8.861
651,6.529
273,6.565
2203,6.614
1609,14.313
2336,6.866
5696,4.125
196,8.028
4461,9.017
2943,7.852
3977,11.627
3714,7.138
2427,5.527
139,6.573
79,7.962
3382,8.454
6176,7.804
6123,9.575
5428,10.926
963,8.256
3377,8.454
177,8.163
4284,6.565
944,8.622
94,7.866
4310,8.2
3363,8.358
5135,6.623
4124,9.14
3361,8.212
5614,5.287
6221,6.906
1558,6.334
6184,7.61
6375,8.625
1684,12.187
4819,9.653
4924,8.512
1887,8.743
3564,7.28
5082,8.177
5889,9.199
608,6.768
4978,8.876
32,7.787
5541,7.244
1807,6.392
2105,7.943
5222,8.177
1288,9.765
2921,7.931
5892,9.199
531,4.607
1826,6.104
4376,7.852
5407,11.627
2662,7.866
1215,6.38
5209,8.3
1225,6.404
5647,4.781
2683,7.943
6213,6.906
5496,8.3
1582,14.099
3591,8.512
5973,7.545
1165,6.442
5011,8.554
742,6.973
4374,7.852
4256,7.057
242,7.441
1597,14.18
3484,7.343
3473,7.484
3111,7.503
4915,8.549
926,8.595
2330,6.885
175,8.099
695,5.801
4899,8.763
2637,7.658
339,7.551
3266,4.125
54,7.742
5169,8.36
104,7.348
1269,5.539
5200,8.395
5482,8.395
1540,6.833
3055,8.458
2593,8.185
6122,9.575
2299,6.635
4997,8.839
4615,9.265
2872,8.2
561,4.077
822,6.132
3234,4.42
4725,9.521
5387,12.89
6267,5.621
4331,8.163
5346,14.021
5893,9.199
1246,5.667
2422,5.936
6240,6.078
2663,7.866
2954,7.441
1778,7.193
2120,8.15
6288,5.217
2035,8.099
6101,10.148
4379,7.441
844,5.668
4858,8.839
4217,7.931
5330,14.313
1852,5.765
3153,5.892
336,7.551
3292,8.326
1616,14.313
5765,7.508
3794,7.85
3520,7.082
4920,8.549
5605,5.326
1447,7.343
913,8.818
4564,7.872
2008,8.35
4847,9.285
2227,6.338
2207,6.339
6323,8.743
2850,7.28
1156,6.384
617,6.768
5146,6.228
5321,14.18
2223,6.338
2145,7.039
4131,9.419
2351,6.774
1045,6.433
2192,6.986
1249,5.667
1038,6.433
4823,9.653
2909,8.028
5824,6.589
5413,11.627
4513,8.622
834,5.964
6284,5.407
3648,7.767
1189,6.56
849,5.668
4744,9.816
5963,7.545
5143,6.623
463,7.127
3663,7.598
6225,6.56
4018,10.16
4062,10.256
1029,6.315
6252,5.774
1799,6.877
1175,6.442
412,6.334
5797,6.901
2455,9.342
5874,9.524
5618,5.287
4453,8.963
2233,6.232
5598,5.326
5490,8.395
5629,5.114
4114,8.988
5506,8.3
4462,9.017
1434,7.368
4095,9.357
2023,8.099
4025,10.409
1110,5.825
5027,8.36
2913,8.028
4937,8.684
3102,7.706
6159,7.972
646,6.529
6195,7.61
3042,8.572
2050,7.771
898,9.137
2552,8.304
3645,7.818
4985,8.876
5299,14.099
4377,7.441
3531,7.082
6209,6.906
3268,4.125
530,4.607
3740,7.982
4269,6.891
226,7.852
3542,6.961
1245,5.667
225,7.852
3106,7.503
6132,9.285
2980,6.891
4544,8.256
2080,7.806
4187,8.163
5059,8.395
5097,7.716
3179,5.326
4126,9.14
5127,6.989
5212,8.3
160,8.2
3596,8.445
162,8.2
3240,4.42
3729,8.058
125,7.143
3039,8.572
5819,6.759
4745,9.816
4793,10.641
5460,8.36
6124,9.575
5516,8.177
6206,7.224
5673,4.42
5251,7.244
2239,6.232
4982,8.876
2987,6.565
356,7.574
1002,6.299
756,7.007
3048,8.572
2883,8.099
6212,6.906
1406,7.382
2884,8.099
4536,8.256
3356,8.212
1872,8.899
5148,8.554
5033,8.36
3540,6.961
5162,8.464
2014,8.185
379,7.197
2320,6.697
2308,6.635
1300,9.524
2054,7.771
2160,6.842
4283,6.565
3156,5.435
2049,8.067
5320,14.18
4000,10.199
1158,6.384
6359,8.521
851,5.668
4464,9.017
1216,6.38
2553,8.304
1655,13.503
2576,8.35
522,5.143
5577,5.892
1459,7.346
2175,6.868
108,7.348
5528,7.716
4547,8.09
552,4.308
213,7.931
3839,8.253
2191,6.986
1893,8.724
2898,8.163
4664,8.01
2186,6.986
6081,10.641
5929,8.494
105,7.348
2854,7.28
233,7.441
5540,7.244
2204,6.614
3669,7.598
4348,8.028
443,7.896
3434,8.187
2912,8.028
5613,5.287
1836,5.965
2097,7.866
2331,6.885
4151,8.324
1948,8.523
2174,6.868
622,6.634
2263,6.169
6361,8.521
4300,8.2
1820,6.104
4957,8.745
2762,7.484
4709,7.147
984,7.872
6235,6.56
925,8.595
3190,5.287
3093,7.706
2751,7.484
5922,8.744
3255,4.261
1251,5.667
4385,7.441
4511,8.622
2670,7.866
3389,8.659
6158,7.972
4432,6.17
166,8.099
1681,12.187
2590,8.185
5794,6.901
1545,6.664
5735,7.363
1399,7.545
3359,8.212
633,6.489
5883,9.524
2819,6.961
3295,8.326
2977,6.891
1668,12.89
5297,13.975
388,6.833
41,7.838
3426,8.953
2459,9.342
4446,8.963
1508,7.567
5255,7.244
4718,6.895
4598,9.495
5468,8.476
2792,7.274
1614,14.313
4342,8.028
5693,4.125
3778,7.725
4927,8.512
5967,7.545
4347,8.028
1332,9.003
1256,5.667
4135,9.419
2808,7.082
4737,9.593
3306,8.211
1919,8.521
5901,9.003
1241,6.054
6136,9.285
4601,9.495
839,5.964
3891,14.18
5724,7.541
928,8.595
1476,7.564
3862,13.975
3453,7.527
1943,8.625
2491,8.975
3566,7.28
3015,8.348
3831,8.253
2337,6.866
482,6.51
3640,7.818
1839,5.965
37,7.838
5653,4.584
4079,9.863
3724,8.237
4605,9.495
575,6.566
841,5.668
3418,8.953
1460,7.346
3420,8.953
5324,14.18
5926,8.494
4797,10.641
1016,6.29
3065,8.252
4152,8.324
1659,13.503
6352,8.521
3488,7.343
3214,4.781
5040,8.476
6262,5.621
1119,5.679
1949,8.523
1882,8.743
2347,6.866
5869,9.765
3365,8.358
318,7.346
1066,6.297
2103,7.943
2750,7.527
4640,8.687
2951,7.441
3644,7.818
3360,8.212
5502,8.3
733,7.092
1846,5.765
2047,8.067
3662,7.598
5662,4.584
210,7.931
4307,8.2
2597,8.099
3056,8.458
826,6.132
5414,11.627
2384,6.617
6208,7.224
4038,10.524
2797,7.274
3477,7.484
4274,6.565
1240,6.054
3047,8.572
2104,7.943
6355,8.521
1698,11.627
422,6.334
4962,8.744
4014,10.16
1479,7.551
2605,8.099
3227,4.584
5382,12.89
2228,6.338
908,8.818
1915,8.549
126,6.908
4428,6.565
5897,9.003
3743,7.982
2444,9.269
3133,7.753
1671,12.89
264,6.891
3284,4.156
1800,6.877
5498,8.3
846,5.668
5906,9.003
988,7.872
5937,8.257
1161,6.384
5294,13.975
2956,7.441
2648,7.806
909,8.818
3789,7.725
3355,8.212
3853,8.239
6417,8.567
888,9.017
1712,10.199
5814,6.759
546,4.308
828,5.964
567,4.077
2352,6.774
6167,7.972
2834,7.139
4921,8.549
4616,9.265
1723,8.316
6013,9.521
553,4.308
3691,7.489
323,7.564
27,7.787
1557,6.334
1162,6.384
4266,6.891
2202,6.614
5637,4.781
2424,5.936
3277,4.156
4130,9.419
5909,9.003
13,7.808
3652,7.767
2776,7.343
2841,7.139
6144,9.285
1898,8.724
6422,8.684
3925,13.736
2493,8.975
312,7.346
6211,6.906
3802,7.85
5087,8.177
2189,6.986
2357,6.774
203,7.931
2955,7.441
707,5.603
4169,8.099
1321,9.003
5866,9.765
127,6.908
1962,8.424
2853,7.28
2842,7.139
24,7.787
4240,7.441
5723,7.541
3582,8.488
2667,7.866
4229,7.852
2765,7.343
3026,8.433
1923,8.521
4918,8.549
4888,8.861
716,7.259
2901,8.163
1078,6.425
5032,8.36
444,7.896
4908,8.763
2382,6.617
3450,7.856
5064,8.395
1163,6.384
1855,5.621
1806,6.392
3568,7.28
4265,6.891
2947,7.441
4648,8.687
2019,8.185
1888,8.743
628,6.634
4259,7.057
4104,8.988
5210,8.3
604,6.496
803,6.551
5025,8.464
1062,6.297
3423,8.953
3404,8.983
2624,7.771
6112,9.653
3354,8.212
2261,6.169
5483,8.395
1709,10.926
2501,8.975
892,9.137
10,7.808
2389,6.403
4108,8.988
4562,7.872
645,6.529
3636,7.818
5133,6.623
4287,6.17
5329,14.313
4392,7.057
2168,6.868
140,6.573
543,4.308
2452,9.342
4824,9.653
3969,12.187
4787,10.581
2437,9.202
6106,9.653
4568,7.872
2474,9.331
616,6.768
5663,4.584
6026,9.593
6100,10.148
564,4.077
1437,7.368
3216,4.781
3546,7.139
5152,8.554
1985,8.684
691,5.801
286,7.368
4248,7.057
4233,7.852
5624,5.287
916,8.818
4517,8.622
1850,5.765
4732,9.593
2094,7.866
4408,6.891
3695,7.489
2895,8.163
4424,6.565
3274,4.156
4968,8.744
1067,6.297
6141,9.285
3282,4.156
1766,7.47
3013,8.348
5117,7.244
2696,8.15
2208,6.339
4571,7.872
1250,5.667
3846,8.239
5780,6.934
4472,9.137
1922,8.521
3633,7.907
3350,8.212
2413,6.235
2199,6.614
2173,6.868
3958,12.89
6114,9.653
1952,8.523
5151,8.554
4180,8.099
4378,7.441
1767,7.47
2972,7.057
1035,6.433
2891,8.099
2417,5.936
6015,9.593
145,8.324
4230,7.852
4987,8.876
3797,7.85
5213,8.3
5587,5.435
2721,8.187
4423,6.565
1442,7.343
4012,10.16
3462,7.527
5864,9.765
2237,6.232
1994,8.684
2166,6.868
3913,14.021
5236,7.716
1729,8.107
116,7.143
3530,7.082
5246,7.716
2679,7.943
2599,8.099
5745,7.335
3388,8.454
1978,8.567
4802,10.641
1593,14.099
137,6.908
5310,14.099
6345,8.549
2479,9.131
3041,8.572
425,6.034
385,7.197
4335,8.163
1079,6.425
1573,13.975
4727,9.593
5078,8.177
1491,7.574
1117,5.679
2848,7.28
1707,10.926
3650,7.767
301,7.343
239,7.441
681,5.943
1100,6.123
1693,11.627
2411,6.235
5084,8.177
5237,7.716
3525,7.082
3193,5.287
3054,8.458
2654,7.806
5286,6.623
1258,5.539
245,7.057
5126,6.989
366,7.567
282,6.17
4101,9.357
4707,7.147
6118,9.653
4176,8.099
2077,7.806
327,7.564
497,5.946
3619,8.149
5876,9.524
1720,8.316
6000,7.17
4254,7.057
4810,10.148
555,4.077
787,6.855
5655,4.584
5396,12.187
101,7.348
2248,6.162
536,4.607
345,7.551
1672,12.89
4895,8.861
2020,8.185
3289,8.326
1574,13.975
488,6.51
5592,5.435
4246,7.441
1088,6.123
5207,8.395
414,6.334
4942,8.684
325,7.564
408,6.664
4324,8.163
3946,13.503
3068,8.252
6246,6.078
3091,7.706
3746,7.982
6292,8.992
693,5.801
2460,9.342
1805,6.392
2219,6.338
297,7.343
4776,10.398
5646,4.781
5859,6.195
1051,6.262
5351,13.736
3134,7.753
5712,4.156
2857,7.293
5531,7.716
1667,12.89
1009,6.29
3559,7.28
5072,8.3
454,7.372
1128,5.401
1013,6.29
3991,10.926
2098,7.866
2328,6.885
3194,5.114
19,7.808
6406,8.567
3004,8.283
5274,6.623
5170,8.36
206,7.931
5050,8.476
4340,8.028
4255,7.057
709,5.603
1022,6.315
3723,8.237
4783,10.581
4715,6.895
4415,6.891
6007,9.521
3543,6.961
6389,8.523
5770,7.241
3769,7.827
1590,14.099
4467,9.137
335,7.551
6429,8.684
3218,4.781
4822,9.653
249,7.057
5403,12.187
5979,7.382
2915,8.028
4606,9.495
4891,8.861
1401,7.382
3181,5.287
5156,8.464
3203,5.114
723,7.092
2786,7.287
3696,7.489
2712,8.193
6419,8.684
1014,6.29
1798,6.877
1398,7.545
1509,7.567
5775,7.241
4533,8.256
3458,7.527
4949,8.745
5993,7.17
3369,8.358
1761,7.795
3558,7.28
1815,6.392
4763,10.21
6296,8.992
3940,13.503
4785,10.581
2859,7.293
3875,14.099
4879,9.051
5557,6.989
259,6.891
4789,10.581
2890,8.099
2950,7.441
1911,8.549
1378,7.874
5920,8.744
303,7.343
6350,8.549
6273,5.621
270,6.565
6311,8.899
1823,6.104
4897,8.763
1837,5.965
5845,6.547
1996,8.684
3527,7.082
5332,14.313
4290,8.324
2093,7.866
515,5.644
595,6.496
5829,6.589
4120,9.14
3801,7.85
6276,5.407
6044,10.21
3445,7.856
719,7.259
4388,7.441
2370,6.745
3031,8.433
921,8.595
5684,4.261
2907,8.163
3536,6.961
5071,8.3
2535,8.075
5677,4.261
2737,7.856
4484,8.818
4315,8.099
4121,9.14
3694,7.489
2563,8.535
5578,5.892
4208,7.931
3767,7.827
2806,7.082
1238,6.054
3753,8.021
3699,7.489
261,6.891
5905,9.003
4323,8.099
2179,6.986
732,7.092
2538,8.075
5301,14.099
2367,6.745
4262,6.891
2729,7.856
4720,9.521
1370,8.257
6110,9.653
144,8.324
3479,7.484
5142,6.623
1518,7.197
61,7.682
1330,9.003
3104,7.503
1813,6.392
6423,8.684
168,8.099
2752,7.484
4451,8.963
4740,9.816
2588,8.185
2013,8.185
1473,7.564
3244,4.42
2832,7.139
758,7.007
2037,8.067
4439,9.014
6047,10.21
191,8.028
1548,6.664
2518,8.471
1749,7.951
338,7.551
948,8.513
6283,5.407
3376,8.454
5204,8.395
5316,14.18
6278,5.407
1139,5.401
5671,4.42
5795,6.901
3681,7.467
4650,8.442
559,4.077
2400,6.403
1954,8.523
993,7.872
820,6.132
5585,5.435
4291,8.324
5244,7.716
1583,14.099
3562,7.28
130,6.908
5953,7.874
889,9.017
4583,10.115
4855,9.285
4828,9.653
4489,8.818
6214,6.906
1744,7.951
1945,8.625
918,8.595
5369,13.503
4628,8.951
1666,12.89
298,7.343
1274,5.277
3863,13.975
4438,9.014
4970,8.744
3192,5.287
5925,8.494
682,5.943
5074,8.3
4190,8.163
5252,7.244
4728,9.593
2503,8.975
306,7.343
3016,8.348
5511,8.177
3882,14.18
3526,7.082
978,8.09
2687,8.15
1207,6.38
5,8.106
2141,7.992
1347,8.494
486,6.51
5196,8.395
4189,8.163
2076,7.806
673,5.943
4072,9.966
2526,8.471
3441,7.856
5206,8.395
4465,9.017
5779,7.241
3698,7.489
1233,6.054
5517,8.177
4590,9.849
227,7.852
3347,8.252
2657,7.806
583,6.465
2251,6.162
3196,5.114
4846,9.285
1069,6.297
246,7.057
3918,14.021
5052,8.476
4179,8.099
5340,14.021
2746,7.527
791,6.925
2816,7.082
3620,8.149
5425,10.926
3701,7.405
3955,12.89
3671,7.598
3829,8.009
2130,8.193
680,5.943
4344,8.028
4963,8.744
437,7.896
4931,8.512
2589,8.185
2555,8.304
1418,7.17
3148,5.892
4773,10.398
4085,9.863
1824,6.104
526,5.143
4261,6.891
537,4.607
547,4.308
5927,8.494
1356,8.494
2582,8.185
2549,8.304
12,7.808
1737,7.951
3375,8.358
421,6.334
772,6.858
350,7.574
111,7.348
4782,10.581
411,6.664
1376,7.874
1304,9.524
699,5.603
427,6.034
4800,10.641
5319,14.18
1648,13.503
598,6.496
4932,8.512
3742,7.982
3976,11.627
5347,14.021
5442,8.464
2948,7.441
4019,10.16
5430,10.199
6129,9.575
2398,6.403
5584,5.892
6362,8.521
1359,8.494
4679,7.603
3165,5.435
3100,7.706
355,7.574
3602,8.445
5159,8.464
4691,7.396
5467,8.36
2685,7.943
223,7.852
5041,8.476
3309,8.211
683,5.943
962,8.256
4064,9.966
845,5.668
2458,9.342
2618,8.067
6366,8.625
5871,9.524
3809,7.906
1089,6.123
3487,7.343
2680,7.943
4184,8.163
2277,6.061
3615,8.149
5754,7.508
1188,6.56
2490,9.131
980,8.09
4158,8.2
4880,9.051
2603,8.099
4914,8.549
5792,6.934
3939,13.503
667,6.3
6086,10.641
3142,7.543
5054,8.395
2089,7.866
570,3.879
2559,8.535
3529,7.082
935,8.622
5815,6.759
630,6.634
5520,8.177
1364,8.257
5732,7.363
3045,8.572
995,7.872
593,6.496
20,7.808
5409,11.627
2611,8.067
3630,7.907
119,7.143
2096,7.866
6177,7.804
67,7.682
4838,9.575
6151,8.119
5375,13.503
1514,7.567
2985,6.891
2388,6.403
2738,7.527
692,5.801
3070,8.252
4672,8.01
2435,9.202
4036,10.409
1776,7.193
6009,9.521
4801,10.641
1280,5.277
2534,8.075
1594,14.18
4759,10.21
6040,10.21
2222,6.338
2238,6.232
3849,8.239
855,5.329
4661,8.442
1311,9.199
3734,8.058
4971,8.744
4872,9.051
4871,9.051
2880,8.2
4768,10.398
6083,10.641
2666,7.866
4056,10.256
3324,8.275
293,7.368
4758,10.21
429,8.623
2953,7.441
5886,9.199
4113,8.988
3595,8.512
5747,7.335
5181,8.36
5888,9.199
4680,7.603
1870,8.899
6205,7.224
5138,6.623
5810,6.759
2675,7.943
3096,7.706
2641,7.658
3756,8.021
4863,9.262
1230,6.404
5160,8.464
3154,5.435
4107,8.988
2975,6.891
4030,10.409
2537,8.075
2660,7.806
545,4.308
618,6.768
2425,5.936
5777,7.241
4447,8.963
1086,6.425
3168,5.326
3029,8.433
1314,9.199
4531,8.513
3821,8.009
833,5.964
1141,5.124
392,6.833
313,7.346
5328,14.313
4852,9.285
5058,8.395
4020,10.16
452,7.372
2279,6.061
1198,6.416
835,5.964
2796,7.274
5784,6.934
783,6.855
3962,12.187
6430,8.684
5118,6.989
2772,7.343
5600,5.326
3697,7.489
1913,8.549
2073,7.658
2709,8.193
6092,10.641
4458,9.017
1142,5.124
3014,8.348
1803,6.392
590,6.465
1150,6.415
5365,13.503
1441,7.343
5372,13.503
919,8.595
1733,8.107
6394,8.424
6390,8.523
4736,9.593
1448,7.343
946,8.513
3243,4.42
4981,8.876
2171,6.868
3983,11.627
5168,8.464
4316,8.099
1663,12.89
2570,8.243
6229,6.56
3574,7.293
648,6.529
2627,7.771
469,7.127
1890,8.743
6191,7.61
5177,8.36
2470,9.331
800,6.925
751,7.007
4885,8.861
3092,7.706
5800,6.901
1469,7.564
4798,10.641
3978,11.627
3904,14.313
2661,7.866
5392,12.187
1031,6.315
4433,9.014
5195,8.476
3523,7.082
739,6.973
2967,7.057
2055,7.771
2735,7.856
1598,14.18
3219,4.584
3303,8.211
6088,10.641
4518,8.622
5695,4.125
1465,7.564
1236,6.054
5443,8.464
3123,7.671
1763,7.795
2579,8.35
182,8.163
599,6.496
1906,8.724
517,5.143
6174,7.804
4205,8.028
4945,8.684
6297,8.992
6245,6.078
1471,7.564
2306,6.635
5418,10.926
1735,8.107
4149,8.324
2286,5.847
6072,10.581
1366,8.257
5229,8.177
1683,12.187
5139,6.623
1134,5.401
4067,9.966
4954,8.745
4146,9.151
5661,4.584
4306,8.2
5334,14.313
4305,8.2
1234,6.054
4222,7.852
5003,8.665
2973,6.891
728,7.092
2707,8.193
6041,10.21
5386,12.89
5955,7.874
6365,8.625
4659,8.442
5243,7.716
5478,8.476
685,5.801
4559,7.872
1705,10.926
3777,7.827
2399,6.403
2485,9.131
6135,9.285
3506,7.274
2408,6.235
930,8.595
3584,8.512
1963,8.424
3452,7.856
2527,8.471
5935,8.494
8,7.808
895,9.137
30,7.787
2445,9.269
2475,9.331
2390,6.403
5185,8.476
3127,7.671
2423,5.936
2157,6.842
5192,8.476
1612,14.313
2365,6.745
798,6.925
4595,9.849
3097,7.706
3680,7.467
5291,13.975
1524,7.197
4558,8.09
4501,8.595
3414,8.983
943,8.622
3693,7.489
1716,8.316
1703,10.926
5565,6.623
6045,10.21
275,6.565
1492,7.574
2407,6.235
4521,8.513
3936,13.503
5588,5.435
4624,8.951
3251,4.261
3618,8.149
4191,8.163
4996,8.839
2026,8.099
3427,8.953
3661,7.767
759,7.007
5269,6.989
5850,6.432
1630,14.021
4999,8.839
5915,8.744
3183,5.287
3626,7.907
852,5.668
5373,13.503
1027,6.315
4391,7.057
6099,10.148
4185,8.163
5242,7.716
2041,8.067
6147,8.839
3130,7.753
320,7.564
402,6.664
4686,7.603
5733,7.363
315,7.346
2529,8.471
1960,8.424
4946,8.684
1341,8.744
6253,5.774
1497,7.574
2129,8.193
3578,8.488
3667,7.598
1642,13.736
86,7.962
2620,8.067
243,7.057
1822,6.104
5729,7.363
376,7.197
1390,7.545
1649,13.503
2551,8.304
5182,8.476
5103,7.716
1604,14.18
269,6.565
3733,8.058
5569,6.623
447,7.896
961,8.256
5634,5.114
3317,8.117
324,7.564
187,8.163
4687,7.603
1615,14.313
2187,6.986
5988,7.382
1040,6.433
1173,6.442
221,7.852
3019,8.348
862,9.014
5509,8.177
6048,10.21
4119,9.14
6024,9.593
4614,9.265
5730,7.363
5877,9.524
3299,8.211
4934,8.512
960,8.256
643,6.489
6294,8.992
2976,6.891
294,7.343
389,6.833
2879,8.2
4155,8.2
5112,7.244
4301,8.2
4697,7.396
3270,4.125
35,7.838
3152,5.892
3325,8.275
4322,8.099
6025,9.593
5564,6.623
4459,9.017
1560,6.334
3511,7.274
2215,6.339
2052,7.771
3398,8.659
3372,8.358
2929,7.931
5100,7.716
3927,13.736
5163,8.464
